[woss_All] -2017-09-26 23:29:54,153 [INFO]  com.briup.server.impl.DBStoreImpl.save(DBStoreImpl.java:50) -------开始入库....
[woss_All] -2017-09-26 23:29:54,381 [INFO]  com.briup.server.impl.DBStoreImpl.save(DBStoreImpl.java:55) -------加载备份数据
[woss_All] -2017-09-26 23:29:54,381 [INFO]  com.briup.backup.impl.Backups.load(Backups.java:72) -------load方法中根据key值不存在备份文件
[woss_All] -2017-09-26 23:30:26,981 [INFO]  com.briup.server.impl.ServerImpl.recive(ServerImpl.java:29) -------开始接受数据...
[woss_All] -2017-09-26 23:30:30,832 [INFO]  com.briup.client.impl.GatherImpl.gather(GatherImpl.java:54) -------开始采集数据
[woss_All] -2017-09-26 23:30:30,836 [INFO]  com.briup.client.impl.GatherImpl.gather(GatherImpl.java:62) -------读取备份数据
[woss_All] -2017-09-26 23:30:30,836 [INFO]  com.briup.backup.impl.Backups.load(Backups.java:72) -------load方法中根据key值不存在备份文件
[woss_All] -2017-09-26 23:30:30,837 [INFO]  com.briup.backup.impl.Backups.load(Backups.java:72) -------load方法中根据key值不存在备份文件
[woss_All] -2017-09-26 23:30:31,111 [INFO]  com.briup.client.impl.GatherImpl.gather(GatherImpl.java:104) -------对不是同一天上下线的用户进行处理
[woss_All] -2017-09-26 23:30:31,115 [INFO]  com.briup.client.impl.GatherImpl.gather(GatherImpl.java:135) -------开始备份数据.....
[woss_All] -2017-09-26 23:30:31,150 [INFO]  com.briup.client.impl.GatherImpl.gather(GatherImpl.java:138) -------此次采集完整数据为:43412
[woss_All] -2017-09-26 23:30:31,150 [INFO]  com.briup.client.impl.GatherImpl.gather(GatherImpl.java:139) -------此次采集不完整数据为:502
[woss_All] -2017-09-26 23:30:31,150 [INFO]  com.briup.client.impl.ClientImpl.send(ClientImpl.java:47) -------进行传输时加载备份数据.....
[woss_All] -2017-09-26 23:30:31,150 [INFO]  com.briup.backup.impl.Backups.load(Backups.java:72) -------load方法中根据key值不存在备份文件
[woss_All] -2017-09-26 23:30:31,150 [INFO]  com.briup.client.impl.ClientImpl.send(ClientImpl.java:54) -------开始发送数据.....
[woss_All] -2017-09-26 23:30:31,152 [INFO]  com.briup.server.impl.ServerImpl.recive(ServerImpl.java:29) -------开始接受数据...
[woss_All] -2017-09-26 23:30:33,934 [INFO]  com.briup.server.impl.DBStoreImpl.save(DBStoreImpl.java:50) -------开始入库....
[woss_All] -2017-09-26 23:30:34,149 [INFO]  com.briup.server.impl.DBStoreImpl.save(DBStoreImpl.java:55) -------加载备份数据
[woss_All] -2017-09-26 23:30:34,149 [INFO]  com.briup.backup.impl.Backups.load(Backups.java:72) -------load方法中根据key值不存在备份文件
[woss_All] -2017-09-27 10:18:24,635 [INFO]  com.briup.server.impl.ServerImpl.recive(ServerImpl.java:29) -------开始接受数据...
[woss_All] -2017-09-27 10:18:38,534 [INFO]  com.briup.client.impl.GatherImpl.gather(GatherImpl.java:54) -------开始采集数据
[woss_All] -2017-09-27 10:18:38,537 [INFO]  com.briup.client.impl.GatherImpl.gather(GatherImpl.java:62) -------读取备份数据
[woss_All] -2017-09-27 10:18:38,598 [INFO]  com.briup.client.impl.GatherImpl.gather(GatherImpl.java:66) -------这一次采集的数据要跳过的字符:4100934
[woss_All] -2017-09-27 10:18:38,658 [INFO]  com.briup.client.impl.GatherImpl.gather(GatherImpl.java:71) -------上一次采集遗留的不完整数据大小为：502
[woss_All] -2017-09-27 10:18:38,658 [INFO]  com.briup.client.impl.GatherImpl.gather(GatherImpl.java:104) -------对不是同一天上下线的用户进行处理
[woss_All] -2017-09-27 10:18:38,710 [INFO]  com.briup.client.impl.GatherImpl.gather(GatherImpl.java:135) -------开始备份数据.....
[woss_All] -2017-09-27 10:18:38,741 [INFO]  com.briup.client.impl.GatherImpl.gather(GatherImpl.java:138) -------此次采集完整数据为:502
[woss_All] -2017-09-27 10:18:38,742 [INFO]  com.briup.client.impl.GatherImpl.gather(GatherImpl.java:139) -------此次采集不完整数据为:502
[woss_All] -2017-09-27 10:18:38,742 [INFO]  com.briup.client.impl.ClientImpl.send(ClientImpl.java:47) -------进行传输时加载备份数据.....
[woss_All] -2017-09-27 10:18:38,742 [INFO]  com.briup.backup.impl.Backups.load(Backups.java:72) -------load方法中根据key值不存在备份文件
[woss_All] -2017-09-27 10:18:38,742 [INFO]  com.briup.client.impl.ClientImpl.send(ClientImpl.java:54) -------开始发送数据.....
[woss_All] -2017-09-27 10:18:38,744 [INFO]  com.briup.server.impl.ServerImpl.recive(ServerImpl.java:29) -------开始接受数据...
[woss_All] -2017-09-27 10:18:38,845 [INFO]  com.briup.server.impl.DBStoreImpl.save(DBStoreImpl.java:50) -------开始入库....
[woss_All] -2017-09-27 10:18:39,047 [INFO]  com.briup.server.impl.DBStoreImpl.save(DBStoreImpl.java:55) -------加载备份数据
[woss_All] -2017-09-27 10:18:39,048 [INFO]  com.briup.backup.impl.Backups.load(Backups.java:72) -------load方法中根据key值不存在备份文件
